Ind ID,SoH,Lat,Long,SA
F14-002,S80-N50,38.73528703,-121.089978,Sac
F14-003,S80-N50,38.73366396,-121.068587,Sac
F14-005,S80-N50,38.73916903,-121.0685,Sac
F14-006,S80-N50,38.75008604,-121.072836,Sac
F14-008,S80-N50,38.75447899,-121.060322,Sac
F14-009,S80-N50,38.76003804,-121.05868,Sac
F14-013,S80-N50,38.81236902,-121.107649,Sac
F14-014,S80-N50,38.81240096,-121.106987,Sac
F14-015,S80-N50,38.81166201,-121.107598,Sac
F14-017,S80-N50,38.81128801,-121.107592,Sac
F14-018,S80-N50,38.806138,-121.103739,Sac
F14-019,S80-N50,38.792576,-121.108927,Sac
F14-020,S80-N50,38.79061899,-121.108657,Sac
F14-021,S80-N50,38.75856802,-121.150665,Sac
F14-022,S80-N50,38.756926,-121.149943,Sac
F14-029,N80-E49,38.98401297,-121.049259,Sac
F14-032,N80,38.71774203,-121.401094,Sac
F14-039,S80-N50,38.82115896,-121.094024,Sac
F14-044,S80-N50,38.81932198,-121.107404,Sac
F14-045,S80-N50,38.82155802,-121.105249,Sac
F14-048,S80-N50,38.82163002,-121.095271,Sac
F14-049,N80,38.58881403,-121.460156,Sac
F14-075,S80-N50,38.640468,-121.220179,Sac
F14-076,S80-N50,38.63445802,-121.192106,Sac
F14-077,S80-N50,38.63845702,-121.220639,Sac
F14-080,S80-N50,38.63843397,-121.220636,Sac
F14-082,S80-N50,38.63910603,-121.220529,Sac
F14-083,S80-N50,38.63789602,-121.222981,Sac
F14-084,S80-N50,38.63838,-121.223188,Sac
F14-087,S80-N50,38.63718004,-121.224329,Sac
F14-088,S80-N50,38.64158004,-121.216133,Sac
F14-089,S80-N50,38.64158196,-121.216136,Sac
F14-090,S80-N50,38.64307403,-121.216467,Sac
F14-092,S80-N50,38.63975203,-121.202902,Sac
F14-094,S80-N50,38.64401003,-121.19216,Sac
F14-107,N80-W49,39.07035797,-121.294636,SNF
F14-108,N80,38.60723804,-121.491913,Sac
F14-109,S80-N50,38.58134701,-121.330503,Sac
F14-119,N80,38.847661,-121.209471,Sac
F14-120,N80,38.588162,-121.462218,Sac
F14-125,N80,38.689967,-121.485251,Sac
F14-128,N80-E49,38.98166997,-121.04682,Sac
F14-130,N80,38.84799102,-121.209357,Sac
F14-134,N80,38.69480202,-121.485422,Sac
F14-135,N80,38.58889701,-121.459901,Sac
F14-146,N80-E49,38.98170702,-121.046858,SNF
F14-150,S50,38.52888401,-121.089074,Sac
F14-151,S50,38.53042502,-121.089112,Sac
F14-152,S50,38.53128601,-121.089377,Sac
F14-242,S80-E49,38.955374,-120.957274,Sac
F14-245,S80-E49,38.94652197,-120.972196,Sac
F14-246,S80-E49,38.951273,-120.952499,Sac
F16-062,N80-W49,38.90921,-121.0956,SNF
F16-085,N80-W49,38.97664,-121.13725,SNF
F16-097,N80-W49,38.90111,-121.08691,SNF
F16-103,N80-W49,38.89996,-121.08953,SNF
F16-110,N80-W49,38.94725,-121.29358,SNF
F16-142,N80-E49,38.995444,-121.05325,SNF
F16-190,N80-W49,38.96424,-121.16889,SNF
F16-205,N80-E49,38.99187,-121.0777,SNF
F16-207,N80-E49,38.99653,-121.08658,SNF
F16-226,N80-E49,39.3161,-120.828,SNF
F16-250,N80-E49,39.3175,-120.78008,SNF
F16-253,N80-E49,39.32547,-120.75457,SNF
F16-254b,N80-E49,39.3258,-120.75483,SNF
F16-289,N80-E49,39.08134698,-121.002309,SNF
F16-316b,N80-W49,39.25991597,-121.078423,SNF
